target_index,lead,time_index,truth,q05,q50,q95
24,3,498,-1.4680674076080322,-2.3593101501464844,-1.397957444190979,-0.3741729259490967
24,4,499,-1.4708232879638672,-2.214214324951172,-1.2390254735946655,-0.25069916248321533
24,5,500,-0.7148952484130859,-2.324185609817505,-1.4821091890335083,-0.3998394012451172
25,1,496,-2.2517261505126953,-2.4533581733703613,-1.4355926513671875,-0.7258967757225037
25,2,497,-1.6119121313095093,-2.391061305999756,-1.3827372789382935,-0.6498343348503113
25,3,498,-1.8752413988113403,-2.398343086242676,-1.3770825862884521,-0.49532610177993774
25,4,499,-2.429882287979126,-2.2564492225646973,-1.1928250789642334,-0.3085635304450989
25,5,500,-1.8726112842559814,-2.1650993824005127,-1.0641262531280518,-0.17411470413208008
26,1,496,1.3544437885284424,-1.3416991233825684,-0.1663094460964203,0.7368578910827637
26,2,497,1.1196318864822388,-1.4094187021255493,-0.2830415666103363,0.5546313524246216
26,3,498,0.9189456105232239,-1.117101788520813,-0.05932987481355667,0.8171254396438599
26,4,499,0.5929166078567505,-0.9807131290435791,-0.01973678544163704,0.833206057548523
26,5,500,0.9380687475204468,-0.9088356494903564,0.02092129737138748,0.9383164048194885
27,1,496,1.9304198026657104,-0.6918867826461792,0.39450713992118835,1.332106590270996
27,2,497,1.2813758850097656,-0.681448221206665,0.3545888662338257,1.2675869464874268
27,3,498,1.5780545473098755,-0.7851685881614685,0.3339316248893738,1.238105297088623
27,4,499,0.7839096188545227,-0.5590989589691162,0.4500778615474701,1.4163572788238525
27,5,500,1.0097336769104004,-0.5342681407928467,0.43347159028053284,1.4321367740631104
28,1,496,2.0422568321228027,0.5796594619750977,1.7346464395523071,2.65347957611084
28,2,497,1.9178928136825562,0.785348653793335,1.8081138134002686,2.679572582244873
28,3,498,1.6457725763320923,0.9385804533958435,1.8085606098175049,2.7291550636291504
28,4,499,0.8761786222457886,1.0439560413360596,1.9208018779754639,2.834695816040039
28,5,500,1.5176646709442139,1.1340546607971191,2.0248570442199707,2.9298288822174072
29,1,496,-1.2351702451705933,-2.452207088470459,-1.504374384880066,-0.5749551057815552
29,2,497,-2.0214133262634277,-2.38849139213562,-1.4411805868148804,-0.6051993370056152
29,3,498,-1.3653804063796997,-2.2463464736938477,-1.4036128520965576,-0.5316857099533081
29,4,499,-1.9574432373046875,-2.137136936187744,-1.3232098817825317,-0.46053117513656616
29,5,500,-1.5067332983016968,-2.042293071746826,-1.2114436626434326,-0.3302156925201416
30,1,496,-1.1576921939849854,-1.960862398147583,-0.8173756003379822,-0.11596077680587769
30,2,497,-1.1339231729507446,-1.8367547988891602,-0.7550891041755676,-0.006964921951293945
30,3,498,-1.3975473642349243,-1.7962851524353027,-0.6828300356864929,0.01246488094329834
30,4,499,-1.340017318725586,-1.7068307399749756,-0.6161323189735413,0.1281977891921997
30,5,500,-1.300856351852417,-1.7677090167999268,-0.6613074541091919,0.12222623825073242
31,1,496,1.5531117916107178,-0.7777526378631592,0.18873640894889832,1.0110859870910645
31,2,497,0.4968988299369812,-0.7530856728553772,0.13186103105545044,0.9713847041130066
31,3,498,0.3469095826148987,-0.7092244029045105,0.15757109224796295,0.9683980941772461
31,4,499,0.5594565868377686,-0.7617989182472229,0.11641652882099152,0.9999023675918579
31,5,500,0.16648370027542114,-0.8261279463768005,0.01013169065117836,0.9242980480194092
32,1,496,-0.0013642720878124237,-1.2388081550598145,-0.2110186368227005,0.5216006636619568
32,2,497,0.4521218538284302,-1.1604801416397095,-0.17563210427761078,0.6315691471099854
