input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,batch_size,lr,weight_decay,const_init,Split,RMSE,MSE,MAE,R2
48,24,25,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.597511117,2.552041769,1.162135601,0.942077994
48,24,25,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.597722955,2.552718639,1.162327051,0.942064762
48,24,25,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.597746233,2.552793026,1.1623528,0.942063212
36,24,31,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.598873281,2.556395769,1.158287406,0.944890201
36,24,31,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.5988744,2.556399345,1.158288479,0.944890082
36,24,31,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.598882303,2.556424618,1.158293962,0.944888473
36,24,31,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.598980641,2.556739092,1.158356309,0.944869161
36,24,25,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.598984145,2.556750298,1.157640815,0.944318235
36,24,19,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.599142936,2.557258129,1.160115242,0.945000172
36,24,31,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.601224464,2.563919783,1.172369123,0.93935442
36,24,31,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.601236748,2.563959122,1.172372937,0.939354479
36,24,31,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.601339334,2.564287663,1.172400236,0.939355075
36,24,31,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.602469434,2.567908287,1.172914147,0.939336002
48,24,31,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.603195623,2.570236206,1.165343761,0.941636324
48,24,31,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.603205141,2.570266724,1.165347934,0.941636741
48,24,31,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.603298976,2.570567608,1.16539371,0.941639304
48,24,31,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.604315648,2.573828697,1.165979743,0.941656053
48,24,31,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.605672485,2.578184128,1.162654042,0.942754924
48,24,31,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.605675009,2.578192234,1.162661076,0.942752779
48,24,31,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.605675826,2.578194857,1.162612557,0.942773223
48,24,31,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.605711387,2.578309059,1.162320614,0.94293189
36,24,25,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.606872094,2.582037926,1.175083399,0.940668643
36,24,25,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.606891753,2.582101107,1.175096631,0.940661669
36,24,25,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.607067713,2.582666636,1.17520833,0.940598607
60,24,31,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.607520359,2.584121704,1.159983873,0.943885803
60,24,31,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.607522806,2.584129572,1.159968615,0.943887949
60,24,31,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.607550466,2.584218502,1.159844995,0.943906724
48,24,25,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.607841428,2.585154057,1.165917158,0.9421224
48,24,25,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.60784343,2.585160494,1.165926695,0.94211787
48,24,25,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.607862336,2.585221291,1.165872931,0.942162037
60,24,31,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.60804034,2.585793734,1.158976793,0.944058478
48,24,25,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.608429047,2.587044001,1.165536523,0.942453444
36,24,25,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.608812252,2.588276863,1.17646265,0.94007659
60,24,25,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.61150005,2.596932411,1.161309481,0.943096936
48,24,31,30,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.611554494,2.597107887,1.18258357,0.942804515
48,24,25,50,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.611559598,2.597124338,1.187141061,0.941304028
60,24,25,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.612105414,2.598883867,1.16541028,0.942570508
60,24,19,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.612144532,2.599009991,1.162822843,0.942823589
60,24,19,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.612184831,2.599139929,1.162843108,0.942822397
48,24,25,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.612284207,2.599460363,1.191841125,0.941394329
60,24,19,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.612544078,2.600298405,1.163020134,0.942811608
60,24,25,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.612662504,2.600680351,1.16631186,0.942477405
60,24,25,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.612734649,2.600913048,1.166420579,0.942466378
48,24,31,50,FALSE,TRUE,16,0.0003,0.0001,TRUE,TEST,1.613048768,2.601926327,1.188148975,0.941770792
48,24,25,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.614031675,2.605098248,1.173874497,0.941512465
48,24,25,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.614052133,2.605164289,1.173855543,0.941506982
48,24,25,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.614290231,2.605932951,1.173705101,0.941456437
48,24,31,30,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.614681421,2.607196093,1.185465217,0.94222945
48,24,31,50,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.615003133,2.608235121,1.188876152,0.941223204
48,24,31,30,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.61503288,2.608331203,1.185779929,0.942162931
48,24,31,30,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.615072148,2.608458042,1.185814619,0.94215548
48,24,31,50,FALSE,TRUE,16,0.0003,1.00E-06,TRUE,TEST,1.615394741,2.60950017,1.189069033,0.941153347
48,24,31,50,FALSE,TRUE,16,0.0003,0,TRUE,TEST,1.615442339,2.60965395,1.189092159,0.941145241
60,24,31,30,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.615970172,2.611359596,1.189055681,0.941339195
60,24,31,30,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.61598677,2.61141324,1.189065933,0.941337049
60,24,31,30,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.6161284,2.611871004,1.189155936,0.941318452
60,24,19,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.616196186,2.612090111,1.164937854,0.942685068
48,24,19,50,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.616860251,2.61423707,1.18709743,0.940387428
60,24,25,30,FALSE,TRUE,64,0.001,0.0001,TRUE,TEST,1.617096903,2.615002394,1.186860681,0.940017641
48,24,25,80,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.617098746,2.615008354,1.173864245,0.941032648
60,24,31,30,FALSE,TRUE,32,0.0003,0.0001,TRUE,TEST,1.617506281,2.616326571,1.190033913,0.941135585
60,24,31,30,FALSE,TRUE,64,0.001,0,TRUE,TEST,1.61854673,2.619693518,1.188563824,0.940626383
60,24,31,30,FALSE,TRUE,64,0.001,1.00E-06,TRUE,TEST,1.618577664,2.619793653,1.188587904,0.940624297
60,24,31,30,FALSE,TRUE,64,0.001,1.00E-05,TRUE,TEST,1.618855818,2.62069416,1.188808799,0.940606713
48,24,19,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.619278151,2.622061729,1.189441204,0.940116525
48,24,19,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.619544408,2.622924089,1.189694285,0.940086067
48,24,19,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.619574292,2.623020887,1.189723253,0.94008261
36,24,31,80,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.619683003,2.623373032,1.186980247,0.94218117
36,24,31,80,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.619697429,2.623419762,1.18697238,0.942186832
48,24,25,50,FALSE,TRUE,16,0.0003,1.00E-05,TRUE,TEST,1.619780889,2.623690128,1.190530062,0.940627217
36,24,31,80,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.619833656,2.623861074,1.186911821,0.942235231
