input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
48,24,37,50,False,True,TEST,1.7527481027553977,3.0721259117126465,1.2835328578948975,0.9337553381919861
48,24,37,50,True,False,VAL,3.663014862013734,13.417677879333496,2.522474765777588,0.7402223348617554
48,24,37,50,True,False,TEST,2.0426619173489398,4.1724677085876465,1.5237027406692505,0.899631679058075
48,24,37,50,True,True,VAL,2.1834902389095046,4.767629623413086,1.644258737564087,0.8504985570907593
48,24,37,50,True,True,TEST,1.8334492155500182,3.3615360260009766,1.3287979364395142,0.9269114136695862
48,24,37,100,False,False,VAL,2.426999976127885,5.890328884124756,1.7780871391296387,0.8624119758605957
48,24,37,100,False,False,TEST,2.264013414397112,5.125756740570068,1.6448965072631836,0.8693972826004028
48,24,37,100,False,True,VAL,2.2195815556326135,4.926542282104492,1.6381661891937256,0.8659932017326355
48,24,37,100,False,True,TEST,1.961564529901645,3.8477354049682617,1.4284001588821411,0.9191102385520935
48,24,37,100,True,False,VAL,3.5753977680999744,12.783469200134277,2.491919755935669,0.7434438467025757
48,24,37,100,True,False,TEST,2.034901432771369,4.140823841094971,1.5161110162734985,0.8947533369064331
48,24,37,100,True,True,VAL,2.123459987226577,4.509082317352295,1.592443823814392,0.8655345439910889
48,24,37,100,True,True,TEST,1.9292908542722162,3.722163200378418,1.4182811975479126,0.9195778369903564
48,24,37,200,False,False,VAL,2.589269698145148,6.704317569732666,1.8792909383773804,0.8451068997383118
48,24,37,200,False,False,TEST,2.522847298493532,6.364758491516113,1.8449193239212036,0.8477644920349121
48,24,37,200,False,True,VAL,2.2961649932659562,5.272373676300049,1.6757535934448242,0.8603058457374573
48,24,37,200,False,True,TEST,2.130795821405592,4.540290832519531,1.5657687187194824,0.9057028293609619
48,24,37,200,True,False,VAL,3.5863715015144484,12.862060546875,2.552905797958374,0.7318641543388367
48,24,37,200,True,False,TEST,2.5177557788608698,6.339094161987305,1.8456076383590698,0.8417025804519653
48,24,37,200,True,True,VAL,2.290909786657748,5.248267650604248,1.6860296726226807,0.8604704141616821
48,24,37,200,True,True,TEST,2.0241792122127666,4.097301483154297,1.4956074953079224,0.9118808507919312
60,12,13,50,False,False,VAL,2.3151238479607272,5.359798431396484,1.6999760866165161,0.8790647983551025
60,12,13,50,False,False,TEST,2.0212215824052207,4.085336685180664,1.5073548555374146,0.9059766530990601
