seed,target_index,lead,truth,model,q05,q50,q95
43,7,1,0.1731487363576889,STDK,-1.2129645347595215,-0.7270172834396362,-0.07633304595947266
43,7,1,0.1731487363576889,STDK_plus_QLSTM,-1.4539613723754883,-0.6875558495521545,0.3395305275917053
43,7,1,0.1731487363576889,STDK_plus_QConvLSTM,-0.8750388026237488,-0.10925973951816559,0.7305653691291809
43,7,2,-0.00894215703010559,STDK,-1.413010597229004,-0.9284377098083496,-0.27292388677597046
43,7,2,-0.00894215703010559,STDK_plus_QLSTM,-1.5460201501846313,-0.7738876342773438,0.25226354598999023
43,7,2,-0.00894215703010559,STDK_plus_QConvLSTM,-0.8178890347480774,-0.06172603368759155,0.7607479095458984
43,7,3,0.09722959995269775,STDK,-1.6196784973144531,-1.132590413093567,-0.46911925077438354
43,7,3,0.09722959995269775,STDK_plus_QLSTM,-1.6153593063354492,-0.8519072532653809,0.17315876483917236
43,7,3,0.09722959995269775,STDK_plus_QConvLSTM,-0.7785564064979553,0.004803614690899849,0.7950772047042847
43,7,4,-0.34593039751052856,STDK,-1.7713916301727295,-1.2768478393554688,-0.6029357314109802
43,7,4,-0.34593039751052856,STDK_plus_QLSTM,-1.6682831048965454,-0.9193057417869568,0.10567086935043335
43,7,4,-0.34593039751052856,STDK_plus_QConvLSTM,-0.7481614947319031,0.056493766605854034,0.896654486656189
43,7,5,-0.2524462938308716,STDK,-1.8722035884857178,-1.3669830560684204,-0.6811680197715759
43,7,5,-0.2524462938308716,STDK_plus_QLSTM,-1.7109425067901611,-0.9766750335693359,0.048305630683898926
43,7,5,-0.2524462938308716,STDK_plus_QConvLSTM,-0.7767137885093689,0.033369529992341995,0.884351909160614
43,8,1,-1.5317602157592773,STDK,-2.338893413543701,-1.8184067010879517,-1.200292944908142
43,8,1,-1.5317602157592773,STDK_plus_QLSTM,-2.532090187072754,-1.6433814764022827,-0.6793324947357178
43,8,1,-1.5317602157592773,STDK_plus_QConvLSTM,-1.7685233354568481,-0.9512931704521179,-0.33320510387420654
43,8,2,-1.9629191160202026,STDK,-2.562558174133301,-2.043890953063965,-1.4246139526367188
43,8,2,-1.9629191160202026,STDK_plus_QLSTM,-2.5839548110961914,-1.6858195066452026,-0.7304717302322388
43,8,2,-1.9629191160202026,STDK_plus_QConvLSTM,-1.670013189315796,-0.928196907043457,-0.20058465003967285
43,8,3,-1.8912633657455444,STDK,-2.7365846633911133,-2.2142462730407715,-1.5885803699493408
43,8,3,-1.8912633657455444,STDK_plus_QLSTM,-2.5676770210266113,-1.6879841089248657,-0.7468935251235962
43,8,3,-1.8912633657455444,STDK_plus_QConvLSTM,-1.6661407947540283,-0.9215844869613647,-0.17547857761383057
43,8,4,-1.95904541015625,STDK,-2.876016855239868,-2.3445301055908203,-1.7058899402618408
43,8,4,-1.95904541015625,STDK_plus_QLSTM,-2.5134875774383545,-1.6627620458602905,-0.7343457341194153
43,8,4,-1.95904541015625,STDK_plus_QConvLSTM,-1.7740259170532227,-1.0603511333465576,-0.2096235752105713
43,8,5,-1.7234493494033813,STDK,-2.942903995513916,-2.3982839584350586,-1.7461071014404297
43,8,5,-1.7234493494033813,STDK_plus_QLSTM,-2.434364080429077,-1.6219428777694702,-0.6936421394348145
43,8,5,-1.7234493494033813,STDK_plus_QConvLSTM,-1.9724045991897583,-1.2377253770828247,-0.34755629301071167
43,9,1,-0.879096269607544,STDK,-1.54041588306427,-1.1025968790054321,-0.4755313992500305
43,9,1,-0.879096269607544,STDK_plus_QLSTM,-1.7088994979858398,-0.9053519368171692,0.03211468458175659
43,9,1,-0.879096269607544,STDK_plus_QConvLSTM,-1.6759834289550781,-0.8222488164901733,-0.03192126750946045
43,9,2,-1.2273341417312622,STDK,-1.722983717918396,-1.286683440208435,-0.6570788621902466
43,9,2,-1.2273341417312622,STDK_plus_QLSTM,-1.7415367364883423,-0.9162433743476868,0.024090945720672607
43,9,2,-1.2273341417312622,STDK_plus_QConvLSTM,-1.6337307691574097,-0.8393380641937256,-0.02919238805770874
43,9,3,-1.0588264465332031,STDK,-1.9115309715270996,-1.4719064235687256,-0.8355706930160522
43,9,3,-1.0588264465332031,STDK_plus_QLSTM,-1.7511372566223145,-0.9259979128837585,0.013543367385864258
43,9,3,-1.0588264465332031,STDK_plus_QConvLSTM,-1.6345901489257812,-0.846159040927887,0.05956786870956421
43,9,4,-1.1872084140777588,STDK,-2.1180388927459717,-1.6702884435653687,-1.0233756303787231
43,9,4,-1.1872084140777588,STDK_plus_QLSTM,-1.7317237854003906,-0.9206803441047668,0.013510465621948242
43,9,4,-1.1872084140777588,STDK_plus_QConvLSTM,-1.612872838973999,-0.811776340007782,0.045770466327667236
43,9,5,-0.7869553565979004,STDK,-2.265061855316162,-1.8047555685043335,-1.1421329975128174
43,9,5,-0.7869553565979004,STDK_plus_QLSTM,-1.705668330192566,-0.9106581211090088,0.019975125789642334
43,9,5,-0.7869553565979004,STDK_plus_QConvLSTM,-1.6173077821731567,-0.8399063348770142,0.0231742262840271
43,10,1,-1.9662842750549316,STDK,-1.84306001663208,-1.427518367767334,-0.7553874850273132
43,10,1,-1.9662842750549316,STDK_plus_QLSTM,-2.071176052093506,-1.3286086320877075,-0.37571871280670166
43,10,1,-1.9662842750549316,STDK_plus_QConvLSTM,-1.7510098218917847,-0.9089860916137695,0.06703805923461914
43,10,2,-1.7661120891571045,STDK,-1.9476451873779297,-1.534122347831726,-0.8570088148117065
43,10,2,-1.7661120891571045,STDK_plus_QLSTM,-2.110107421875,-1.3629862070083618,-0.4079388976097107
43,10,2,-1.7661120891571045,STDK_plus_QConvLSTM,-1.6695547103881836,-0.8251436352729797,0.09347766637802124
43,10,3,-1.3823493719100952,STDK,-2.0965702533721924,-1.6807798147201538,-0.9952057600021362
43,10,3,-1.3823493719100952,STDK_plus_QLSTM,-2.1388769149780273,-1.394986867904663,-0.44008058309555054
43,10,3,-1.3823493719100952,STDK_plus_QConvLSTM,-1.7555854320526123,-0.9238419532775879,0.017232060432434082
43,10,4,-0.9659784436225891,STDK,-2.2546873092651367,-1.832232117652893,-1.1348240375518799
43,10,4,-0.9659784436225891,STDK_plus_QLSTM,-2.157414674758911,-1.42277991771698,-0.4692506790161133
43,10,4,-0.9659784436225891,STDK_plus_QConvLSTM,-1.7411422729492188,-0.8220305442810059,0.10103756189346313
43,10,5,-0.9855853319168091,STDK,-2.3885130882263184,-1.9558769464492798,-1.2368971109390259
43,10,5,-0.9855853319168091,STDK_plus_QLSTM,-2.1714468002319336,-1.4437564611434937,-0.4935086965560913
43,10,5,-0.9855853319168091,STDK_plus_QConvLSTM,-1.9145047664642334,-0.9645716547966003,0.002192974090576172
43,11,1,0.5093067288398743,STDK,-0.533211350440979,-0.09879285842180252,0.6079083681106567
43,11,1,0.5093067288398743,STDK_plus_QLSTM,-0.7007261514663696,0.023684166371822357,0.9874471426010132
43,11,1,0.5093067288398743,STDK_plus_QConvLSTM,-0.7364950776100159,0.19188576936721802,1.2137477397918701
43,11,2,1.1339848041534424,STDK,-0.725310206413269,-0.29310205578804016,0.42281582951545715
43,11,2,1.1339848041534424,STDK_plus_QLSTM,-0.7146730422973633,-0.008349098265171051,0.9592245221138
43,11,2,1.1339848041534424,STDK_plus_QConvLSTM,-0.7324053049087524,0.19079193472862244,1.1350566148757935
43,11,3,1.2079066038131714,STDK,-0.921913743019104,-0.48758813738822937,0.2448616325855255
43,11,3,1.2079066038131714,STDK_plus_QLSTM,-0.7393336296081543,-0.03964976221323013,0.9291298985481262
43,11,3,1.2079066038131714,STDK_plus_QConvLSTM,-0.8247201442718506,0.006514019798487425,0.9625098705291748
43,11,4,1.1851716041564941,STDK,-1.0742168426513672,-0.6333242654800415,0.12172842025756836
43,11,4,1.1851716041564941,STDK_plus_QLSTM,-0.7684112787246704,-0.06740013509988785,0.900661826133728
43,11,4,1.1851716041564941,STDK_plus_QConvLSTM,-0.8753527998924255,-0.019745882600545883,0.8811273574829102
43,11,5,0.6115306615829468,STDK,-1.1909816265106201,-0.7423739433288574,0.04872614145278931
43,11,5,0.6115306615829468,STDK_plus_QLSTM,-0.8020355701446533,-0.09047312289476395,0.8745458126068115
43,11,5,0.6115306615829468,STDK_plus_QConvLSTM,-0.9060370326042175,0.02313821204006672,1.0300147533416748
43,12,1,0.4475647211074829,STDK,-0.14676013588905334,0.32913005352020264,0.9883880019187927
43,12,1,0.4475647211074829,STDK_plus_QLSTM,-0.4489922821521759,0.3254266679286957,1.3310785293579102
43,12,1,0.4475647211074829,STDK_plus_QConvLSTM,-0.46167612075805664,0.5018842816352844,1.4722118377685547
43,12,2,0.370999813079834,STDK,-0.1512841284275055,0.32242482900619507,0.9832238554954529
43,12,2,0.370999813079834,STDK_plus_QLSTM,-0.47921687364578247,0.3087111711502075,1.330810308456421
43,12,2,0.370999813079834,STDK_plus_QConvLSTM,-0.49577176570892334,0.4777865409851074,1.4592609405517578
43,12,3,0.551715612411499,STDK,-0.19727712869644165,0.2740800082683563,0.9422677755355835
43,12,3,0.551715612411499,STDK_plus_QLSTM,-0.5075064897537231,0.2834789454936981,1.3145641088485718
43,12,3,0.551715612411499,STDK_plus_QConvLSTM,-0.4786839783191681,0.44894489645957947,1.4437724351882935
43,12,4,0.5125595927238464,STDK,-0.2961820065975189,0.17728650569915771,0.857806921005249
43,12,4,0.5125595927238464,STDK_plus_QLSTM,-0.5460094213485718,0.2521253228187561,1.2896881103515625
43,12,4,0.5125595927238464,STDK_plus_QConvLSTM,-0.504676878452301,0.4773337244987488,1.4803903102874756
43,12,5,0.2704806923866272,STDK,-0.3737277388572693,0.10665585100650787,0.8023180961608887
43,12,5,0.2704806923866272,STDK_plus_QLSTM,-0.5929292440414429,0.21605485677719116,1.253415822982788
43,12,5,0.2704806923866272,STDK_plus_QConvLSTM,-0.44432711601257324,0.5194483399391174,1.4627861976623535
43,13,1,0.4268757104873657,STDK,-0.8617669343948364,-0.37587958574295044,0.24753910303115845
43,13,1,0.4268757104873657,STDK_plus_QLSTM,-1.0333259105682373,-0.28042536973953247,0.5089532136917114
43,13,1,0.4268757104873657,STDK_plus_QConvLSTM,-1.5796265602111816,-0.6524166464805603,0.2703624367713928
43,13,2,0.31335681676864624,STDK,-0.957597017288208,-0.47462546825408936,0.15040475130081177
